B3_difference_extra;E4_having_child;E21_sex;E22_Age;E22_Age_Squared
0;0;1;29;841
0;0;1;31;961
0;0;1;32;1024
0;0;0;30;900
-31;0;0;34;1156
50;0;1;28;784
42;1;1;45;2025
35;0;0;44;1936
24;1;1;29;841
17;0;1;40;1600
11;0;1;28;784
9;0;0;32;1024
9;0;1;30;900
9;0;1;31;961
8;0;0;27;729
8;0;1;31;961
8;0;0;30;900
8;0;0;29;841
7;0;0;32;1024
7;0;1;29;841
6;0;0;28;784
6;0;0;28;784
5;0;1;28;784
5;0;0;27;729
5;0;0;30;900
4;0;0;27;729
4;0;1;28;784
3;0;1;30;900
2;0;0;31;961
2;0;1;28;784
1;0;0;28;784
0;0;0;29;841
0;1;1;31;961
0;1;0;30;900
0;0;0;28;784
0;1;1;28;784
0;0;1;28;784
0;0;1;27;729
0;0;1;29;841
-1;0;1;29;841
26;0;1;36;1296
22;0;1;29;841
22;0;1;30;900
9;0;1;28;784
8;0;1;33;1089
6;0;0;28;784
6;0;1;30;900
5;0;0;30;900
4;0;1;27;729
3;0;1;30;900
0;0;1;30;900
52;0;0;37;1369
51;0;0;29;841
20;0;1;57;3249
14;0;0;33;1089
6;1;0;46;2116
4;0;1;31;961
0;0;1;33;1089
66;0;0;32;1024
0;0;1;29;841
0;0;1;27;729
-3;0;0;29;841
29;0;0;36;1296
3;0;1;31;961
0;0;0;29;841
22;1;1;45;2025
9;1;1;38;1444
0;1;1;40;1600
10;0;1;49;2401
0;1;1;41;1681
22;0;1;30;900
20;0;0;34;1156
8;0;1;40;1600
0;0;0;30;900
0;0;1;80;6400
